N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,
93,KODEX 레버리지,"16,235",240,+1.50%,0,"26,528","163,400",2.45,"36,988,384",N/A,N/A,
94,일진머티리얼즈,"55,500","1,300",+2.40%,500,"25,592","46,111",8.90,"412,199",48.43,8.52,
95,키움증권,"113,500",500,+0.44%,"5,000","25,083","22,100",23.95,"95,687",13.45,16.97,
96,두산퓨얼셀,"45,150",550,+1.23%,100,"25,055","55,494",4.42,"369,996",68.83,N/A,
97,삼성엔지니어링,"12,750",350,+2.82%,"5,000","24,990","196,000",31.19,"2,456,412",9.51,24.62,
98,부광약품,"37,750",450,-1.18%,500,"24,476","64,838",5.24,"1,735,919",-227.41,-2.00,
99,한국항공우주,"25,050",0,0.00%,"5,000","24,418","97,475",14.99,"363,075",11.78,15.84,
100,한국가스공사,"26,450",0,0.00%,"5,000","24,417","92,313",9.44,"287,862",53.76,0.48,
101,메리츠증권,"3,600",0,0.00%,"1,000","24,335","675,962",12.58,"3,991,021",4.97,15.06,
102,한샘,"103,000",500,+0.49%,"1,000","24,240","23,534",25.23,"75,346",57.13,7.32,
103,롯데쇼핑,"83,700",200,-0.24%,"5,000","23,678","28,289",12.00,"119,134",-2.22,-8.14,
104,BGF리테일,"133,500",500,-0.37%,"1,000","23,074","17,284",32.35,"30,479",16.20,26.46,
105,두산중공업,"9,070",20,-0.22%,"5,000","22,960","253,141",7.52,"2,397,834",-2.34,-14.73,
106,농심,"377,000","1,000",-0.26%,"5,000","22,932","6,083",19.43,"37,485",25.28,3.72,
107,GS건설,"27,850",50,+0.18%,"5,000","22,307","80,098",29.70,"391,506",5.01,11.79,
108,동서,"22,350",750,+3.47%,500,"22,283","99,700",5.90,"404,504",16.39,10.53,
109,KODEX 200선물인버스2X,"3,905",60,-1.51%,0,"22,235","569,400",1.47,"95,936,812",N/A,N/A,
110,신세계,"225,500","5,000",+2.27%,"5,000","22,201","9,845",29.24,"180,012",-15.68,14.24,
111,현대해상,"24,650",200,+0.82%,500,"22,037","89,400",40.41,"280,794",7.84,6.23,
112,제일기획,"19,000",250,-1.30%,200,"21,858","115,041",29.34,"412,855",15.70,15.09,
113,현대차우,"89,400",200,+0.22%,"5,000","21,775","24,357",56.16,"156,680",9.47,N/A,
114,HMM,"6,610",230,+3.61%,"5,000","21,597","326,726",8.96,"4,702,661",-4.40,-55.46,
